event_time;acf_decay_norm;acf_first_zero_norm;crest_factor;dominant_freq_norm;duration_ratio_20pct;duration_ratio_50pct;energy_concentration;energy_decay_ratio;energy_ratio_0_2Hz;energy_ratio_12_16Hz;energy_ratio_16_20Hz;energy_ratio_2_5Hz;energy_ratio_5_8Hz;energy_ratio_8_12Hz;envelope_kurtosis;envelope_peak_count_norm;envelope_skewness;envelope_smoothness;form_factor;freq_drift;freq_track_cv;freq_track_range_norm;hf_content_ratio;hjorth_mobility;impulse_factor;kurtosis;low_high_ratio;mean_recurrence_dist_norm;mid_total_ratio;onset_peak_ratio_1000ms;onset_peak_ratio_500ms;onset_sharpness;peak_position_norm;peak_prominence;rise_decay_asymmetry;signal_complexity;signal_entropy_norm;skewness;spectral_bandwidth_norm;spectral_centroid_norm;spectral_flatness;spectral_rolloff_50_norm;spectral_rolloff_85_norm;tf_concentration;wavelet_peak_scale;wavelet_scale_ratio;wavelet_time_concentration;zero_crossing_rate;class_name
2024-03-19T14:18:15.400000Z;0.0065;0.0085;5.941279566;0.76653891;0.606565572;0.081486419;0.71535307;3.900455241;0.000335878;0.347756176;0.076648445;0.066159798;0.173364977;0.081768224;7.766614156;0.3;2.685004264;0.970821032;1.490846168;-0.043028496;0.542525493;1.654411765;0.721476722;0.097191303;8.857533873;6.742297975;0.162426687;0.789347445;0.211443304;0.216982392;0.216982392;0.011019128;0.416263956;1.065120081;0.713103055;1.064663255;0.182209357;-0.442536809;0.37493751;0.791747073;2.40E-05;0.733211131;1.108148642;0.034310048;0.6;0.332532712;0.337864992;26.16230628;short_signal
2024-03-19T14:19:58.400000Z;0.0105;0.014;4.100058786;0.441593068;0.945509082;0.551574738;0.465634506;0.128645423;0.000110522;0.14087042;0.102593583;0.032392238;0.356555169;0.344838149;-0.587597969;1;0.700176739;0.94159491;1.365994566;-0.180315296;0.519018792;1.487603306;0.286167904;0.061860345;5.600658021;1.050743648;0.18808691;0.582171527;0.683845413;0.297204106;0.235869312;0.009816208;0.710214964;1.050565027;2.450833813;0.71073763;0.160728959;-0.163161341;0.316613898;0.637953751;1.70E-05;0.433261123;0.749875021;0.02816239;0.4;0.412022023;0.75690491;22.32961173;surface_waves
2024-03-19T14:22:45.400000Z;0.0095;0.013;4.041351651;0.383269455;0.976837194;0.12797867;0.668305864;0.160490129;0.000221799;0.228514466;0.120418536;0.115499256;0.268743469;0.198629974;2.530881286;0.9;1.547303487;0.909766497;1.395456474;0.02331747;0.521353046;2.272727273;0.489434592;0.069556147;5.639530327;1.980249788;0.331881141;0.558979744;0.444731424;0.316531804;0.316531804;0.006591197;0.955674054;1.213680307;21.56015038;0.783524311;0.140826355;-0.203772061;0.399933344;0.688922809;2.08E-05;0.483252791;0.883186136;0.019977686;0.4;0.643082781;0.400037825;22.49625062;noise
2024-03-19T14:23:31.000000Z;0.0105;0.0155;4.42827281;0.199966672;0.992667889;0.838526912;0.309516784;1.050892;0.000656702;0.101704998;0.108564638;0.381205282;0.21034619;0.159653663;1.379060968;1.8;1.060299328;0.70576522;1.292004429;-0.166271008;0.562438573;1.935483871;0.319017934;0.066355413;5.721348082;0.93696282;1.57250319;1.077320973;0.361663785;0.534320284;0.478713945;0.024949623;0.877353774;1.223789845;7.153532609;0.746069179;0.361977818;0.188519078;0.424929178;0.633408905;3.35E-05;0.366605566;0.791534744;0.012563041;0.4;1.118296198;0.335319124;21.49641726;noise
2024-03-19T14:24:14.600000Z;0.01;0.013;6.582837581;0.416597234;0.154474254;0.062656224;0.50354376;0.955566505;1.50E-06;0.131605686;0.012986786;0.016099642;0.263211122;0.564684986;11.13117382;0.2;3.343856887;0.993372764;2.562453352;-0.329802884;0.574706496;1.844262295;0.285319554;0.062770196;16.86821423;19.19693686;0.219151773;0.077611248;0.809808966;0.024829029;0.022055221;0.001313019;0.493417764;1.02004556;0.974013158;0.72727191;0.023133597;0.428123366;0.174970838;0.606577505;7.67E-06;0.433261123;0.608231961;0.121803088;0.4;0.150603575;0.683135898;24.99583403;short_signal
2024-03-19T14:24:18.200000Z;0.011;0.0145;6.824474422;0.274954174;0.294117647;0.055157474;0.881658825;32.89900249;0.00066794;0.049165165;0.041660835;0.153505322;0.540104531;0.162500483;8.671480787;0.3;2.845619958;0.9386626;1.861027841;0.298333872;0.569487744;1.939655172;0.236387394;0.057917073;12.7005369;12.7775143;3.4774663;1.891171746;0.358729556;1;1;0.050638735;0.010164973;1.044164315;0.01026936;0.667844125;0.079768561;-0.356882242;0.26662223;0.657211735;6.59E-05;0.308281953;0.574904183;0.102833476;0.4;0.830170136;0.534730638;22.66288952;surface_waves
2024-03-19T14:25:06.800000Z;0.0045;0.0055;3.342044909;1.208131978;0.999333444;0.955507415;0.321117719;1.024788117;1.13E-05;0.008318117;0.011035165;0.006865106;0.225218353;0.049583752;6.253621012;2.2;2.023080399;0.856627104;1.174070413;-0.027147199;0.141581962;0.687022901;0.735627349;0.140412262;3.923796047;-0.54210938;0.020467553;1.121333022;0.266976231;0.531799821;0.531799821;0.057560814;0.489585069;1.054558097;0.959190336;1.451121537;0.14387149;-0.043796924;0.008331945;0.836910232;5.69E-05;1.199800033;1.208131978;0.013321728;0.4;0.595466955;0.706370005;47.65872355;helicopter
2024-03-19T14:26:05.600000Z;0.005;0.006;1.901120432;0.991501416;0.999833361;0.996667222;0.282657863;1.272848721;3.15E-06;0.001702271;0.882955466;0.000754026;0.007480079;0.004503534;-0.431430027;1.8;-0.390823406;0.973559617;1.127087535;0.085921058;0;0;0.98760338;0.12466048;2.142729143;-1.352203856;0.002275199;1.373739647;0.010494575;0.977187987;0.977187987;0.109316264;0.304782536;1.012173322;0.438398849;1.355557023;0.023395691;0.010956335;0.008331945;1.055930966;0.000117039;0.991501416;0.999833361;0.017075895;0.8;0.001930127;0.983235921;39.49341776;helicopter
2024-03-19T14:26:19.200000Z;0.0055;0.0065;2.430198855;0.89151808;0.999833361;0.883352775;0.38032975;1.547383373;4.59E-06;0.001104743;0.966688398;0.00087963;0.000870294;0.000931674;0.193316199;1.9;0.141932781;0.964949165;1.158441835;0.007998475;0.064282435;0.204545455;0.997737447;0.114005051;2.815244021;-1.005306027;0.001098622;1.573564223;0.001590521;0.914632248;0.914632248;0.082939517;0.256623896;1.435169304;0.345214078;1.260331238;0.064495901;-0.104499821;0.008331945;1.041781605;0.000167216;0.89151808;0.899850025;0.013023927;0.8;0.001191283;0.993990396;35.82736211;helicopter
2024-03-19T14:26:29.400000Z;0.0055;0.0065;2.280788856;0.89151808;0.999500083;0.998666889;0.271969419;0.892987713;1.01E-05;0.001900412;0.972980983;0.001680191;0.003246532;0.010002546;0.242341866;1.8;0.159639549;0.970384503;1.133557319;-0.032931524;0.057946826;0.20361991;0.987832934;0.113155179;2.5854049;-1.251585536;0.002074353;1.159746538;0.012896023;0.774126584;0.72924326;0.077154834;0.355107482;1.356079097;0.550645995;1.252262842;0.083488461;-0.09647663;0.008331945;0.957678146;0.000128064;0.89151808;0.899850025;0.011244973;0.8;0.002496067;0.985274801;35.82736211;helicopter
