receiver_sn,record_time,temperature
UP1,2024-03-20T15:07:10,2.38
UP1,2024-03-20T15:17:16,2.13
UP1,2024-03-20T15:27:21,1.75
UP1,2024-03-20T15:37:23,0.88
UP1,2024-03-20T15:47:24,-1.06
UP1,2024-03-20T15:57:25,-2.75
UP1,2024-03-20T16:07:35,-4
UP1,2024-03-20T16:17:42,-5
UP1,2024-03-20T16:27:48,-5.88
UP1,2024-03-20T16:37:54,-6.69
UP1,2024-03-20T16:48:07,-7.31
UP1,2024-03-20T16:58:08,-7.75
UP1,2024-03-20T17:08:16,-8.25
UP1,2024-03-20T17:18:26,-8.88
UP1,2024-03-20T17:28:33,-9.56
UP1,2024-03-20T17:38:36,-10.06
UP1,2024-03-20T17:48:44,-10.56
UP1,2024-03-20T17:58:50,-10.88
UP1,2024-03-20T18:09:02,-11.44
UP1,2024-03-20T18:19:10,-11.94
UP1,2024-03-20T18:29:22,-12.31
UP1,2024-03-20T18:39:31,-12.81
UP1,2024-03-20T18:49:32,-13.06
UP1,2024-03-20T18:59:37,-13.13
UP1,2024-03-20T19:09:45,-13.31
UP1,2024-03-20T19:19:50,-13.13
UP1,2024-03-20T19:30:00,-13.13
UP1,2024-03-20T19:40:08,-13.5
UP1,2024-03-20T19:50:16,-13.88
UP1,2024-03-20T20:00:20,-14
UP1,2024-03-20T20:10:30,-14.25
UP1,2024-03-20T20:20:38,-14.44
UP1,2024-03-20T20:30:50,-14.5
UP1,2024-03-20T20:41:00,-14.75
UP1,2024-03-20T20:51:06,-15
UP1,2024-03-20T21:01:12,-15.25
UP1,2024-03-20T21:11:22,-15.38
UP1,2024-03-20T21:21:24,-15.56
UP1,2024-03-20T21:31:31,-15.88
UP1,2024-03-20T21:41:39,-16.06
UP1,2024-03-20T21:51:47,-16.19
UP1,2024-03-20T22:01:54,-16.06
UP1,2024-03-20T22:12:01,-16.13
UP1,2024-03-20T22:22:09,-16.06
UP1,2024-03-20T22:32:17,-15.75
UP1,2024-03-20T22:42:27,-15.44
UP1,2024-03-20T22:52:36,-15.44
UP1,2024-03-20T23:02:45,-15.44
UP1,2024-03-20T23:12:51,-15.38
UP1,2024-03-20T23:23:00,-15.44
UP1,2024-03-20T23:33:03,-15.5
UP1,2024-03-20T23:43:12,-15.56
UP1,2024-03-20T23:53:20,-15.5
UP1,2024-03-21T00:03:28,-15.38
UP1,2024-03-21T00:13:36,-15.44
UP1,2024-03-21T00:23:43,-15.31
UP1,2024-03-21T00:33:51,-15.13
UP1,2024-03-21T00:44:02,-14.88
UP1,2024-03-21T00:54:13,-14.63
UP1,2024-03-21T01:04:24,-14.63
UP1,2024-03-21T01:14:35,-15.06
UP1,2024-03-21T01:24:43,-15.31
UP1,2024-03-21T01:34:53,-15.56
UP1,2024-03-21T01:44:55,-15.31
UP1,2024-03-21T01:55:03,-14.88
UP1,2024-03-21T02:05:05,-14.38
UP1,2024-03-21T02:15:09,-13.88
UP1,2024-03-21T02:25:20,-13.56
UP1,2024-03-21T02:35:30,-13.5
UP1,2024-03-21T02:45:30,-13.5
UP1,2024-03-21T02:55:39,-13.63
UP1,2024-03-21T03:05:50,-13.75
UP1,2024-03-21T03:16:00,-13.63
UP1,2024-03-21T03:26:09,-13.06
UP1,2024-03-21T03:36:19,-12.63
UP1,2024-03-21T03:46:27,-12.38
UP1,2024-03-21T03:56:37,-12.19
UP1,2024-03-21T04:06:44,-11.94
UP1,2024-03-21T04:16:47,-11.75
UP1,2024-03-21T04:26:59,-11.38
UP1,2024-03-21T04:37:09,-11.06
UP1,2024-03-21T04:47:19,-10.75
UP1,2024-03-21T04:57:30,-10.56
UP1,2024-03-21T05:07:39,-10.5
UP1,2024-03-21T05:17:49,-10.31
UP1,2024-03-21T05:27:50,-10.25
UP1,2024-03-21T05:38:01,-10.13
UP1,2024-03-21T05:48:12,-10
UP1,2024-03-21T05:58:17,-9.88
UP1,2024-03-21T06:08:25,-9.81
UP1,2024-03-21T06:18:34,-9.81
UP1,2024-03-21T06:28:44,-9.75
