event_time;waveform_rms;waveform_peak_to_peak;waveform_abs_energy;waveform_max_abs;waveform_mean_abs;waveform_skewness;waveform_kurtosis;waveform_std;zero_crossing_rate;spectral_centroid;dominant_freq;spectral_spread;spectral_rolloff;spectral_flatness;spec_band_1_5_ratio;spec_band_5_10_ratio;spec_band_10_15_ratio;spec_band_15_20_ratio;duration_5_percent;duration_2_percent;envelope_rise_time;peak_position_normalized;envelope_skewness;envelope_kurtosis;slowness_min_during_signal;slowness_mean_during_signal;slowness_std_during_signal;slowness_change_during_signal;back_azimuth_at_min_slowness;incidence_angle_at_min_slowness;class_name
2024-03-19T14:23:31.000000Z;20.28136666;155.8125526;92137.97078;91.07513418;15.3537695;0.19544141;1.130249782;20.28136666;21.49641726;12.66791163;3.999333444;9.475968225;20.16330612;2.65E-05;0.381829703;0.299119549;0.159713362;0.121429152;5.795;5.889;5.124;0.881686386;0.932228551;1.498803324;0.201556444;0.448243822;0.082134679;0.360248683;299.7448813;81.89038554;noise
2024-03-19T14:24:14.600000Z;261.1960217;3242.353135;607628.0414;1719.570365;101.2544645;0.427637254;19.20770721;261.1960217;24.66255624;12.13159658;8.331944676;7.234950093;17.16380603;6.03E-06;0.01610115;0.698578945;0.249392043;0.024517536;2.856;4.604;0.434;0.489585069;3.516133511;12.51791415;0.360555128;0.497250376;0.06096012;0.222540062;326.3099325;73.37959396;short_signal
2024-03-19T14:24:18.200000Z;47.71214862;593.5849866;169718.0504;331.2685121;28.28162813;0.476725711;10.04171862;47.71214862;23.49608399;13.1647163;5.499083486;12.51843764;21.49641726;4.29E-05;0.154068651;0.609627787;0.133011766;0.050849205;5.782;5.853;0.179;0.046325612;2.697951247;9.45950845;0.195256242;0.450128771;0.091467458;0.375379369;140.1944289;81.89038554;surface_waves
2024-03-19T14:25:06.800000Z;73.94172602;503.8930887;369964.4863;253.0127556;61.65047263;-0.050950414;-0.376108425;73.94172602;47.82536244;16.74267663;24.16263956;14.8432022;24.16263956;4.36E-05;0.006872513;0.257496841;0.024315232;0.012344742;5.871;5.94;2.691;0.495750708;-0.655896316;4.02041661;0.246221445;0.469175431;0.089386276;0.350121577;113.962489;81.89038554;helicopter
2024-03-19T14:26:05.600000Z;1164.270039;4541.745388;6086664.784;2275.595788;1014.275085;0.013899322;-1.271132732;1164.270039;39.32677887;21.12025034;19.83002833;13.61843064;21.32977837;8.47E-05;0.000757191;0.011639361;0.001606787;0.883504378;5.908;5.946;0.197;0.300283286;-2.179457386;5.894891171;0.289362778;0.495525622;0.111905501;0.417744003;192.4224199;81.89038554;helicopter
2024-03-19T14:26:19.200000Z;286.6966534;1393.701743;1459549.637;723.6670721;243.2177365;-0.106586486;-0.913470291;286.6966534;35.66072321;20.84024446;17.83036161;12.87981525;22.49625062;0.000123562;0.000882868;0.001378353;0.001297961;0.966920002;5.89;5.944;0.196;0.26212298;-0.313587763;0.54365465;0.075;0.425019188;0.178811413;0.508095189;0;26.74368395;helicopter
2024-03-19T14:26:29.400000Z;225.26327;1029.457699;1168873.433;530.7663364;194.7797756;-0.101942789;-1.138403921;225.26327;35.49408432;19.1584546;17.83036161;11.76598712;21.16313948;9.09E-05;0.001686311;0.010476938;0.004308704;0.973342261;5.916;5.941;1.973;0.357940343;-0.927149124;1.861117613;0.226384628;0.382464643;0.091515661;0.326070318;173.6598083;81.89038554;helicopter
2024-03-19T14:26:36.600000Z;189.7219614;885.4735201;988115.7761;448.1106322;164.6585196;-0.093291127;-1.178442753;189.7219614;35.49408432;20.05479056;17.83036161;12.00486559;22.32961173;0.000100725;0.001583441;0.003261449;0.003974236;0.950296187;5.901;5.944;1.942;0.651391435;-1.148775086;2.57887189;0.141421356;0.387666284;0.153048515;0.373966847;135;58.05194057;helicopter
2024-03-19T14:26:39.200000Z;180.9727659;885.4803286;938225.0599;448.201835;156.3447859;-0.082587489;-1.107510669;180.9727659;35.994001;19.53314406;17.9970005;11.67856648;21.82969505;9.18E-05;0.002157808;0.003001717;0.003906774;0.963734725;5.909;5.937;1.187;0.218130312;-0.751564375;1.848970666;0.26580801;0.476904254;0.036992639;0.249580193;170.9419577;81.89038554;helicopter
2024-03-19T14:26:41.400000Z;187.8707085;910.8275589;967403.5866;466.9157595;161.2070633;-0.09621914;-1.041600961;187.8707085;35.994001;20.32120646;17.9970005;12.48647001;21.66305616;0.000100898;0.002436042;0.002009157;0.001506371;0.956660807;5.908;5.942;3.501;0.732044659;-0.55614533;1.185914066;0.388104367;0.451728156;0.039270293;0.120548194;284.9314172;75.67536395;helicopter
